rodovia,sigla,uf,municipio,km,sentido,porticos_no_registro,tipo,concessionaria,data_ativacao,status,observacao,fonte,atualizado_em
Rio-Santos (Costa Verde),BR-101,RJ,Itaguaí,414,ambos,1,cobranca,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),2023-03-31,ativo,"Primeiro sistema Free Flow do Brasil. Operação assistida desde 30/01/2023, cobrança a partir de março de 2023. Tarifa fixa por pórtico, não proporcional ao trecho.",https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias/free-flow-tem-inicio-na-rio-santos-br-101,2026-08-26
Rio-Santos (Costa Verde),BR-101,RJ,Mangaratiba,447,ambos,1,cobranca,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),2023-03-31,ativo,"Tarifa fixa por pórtico. Totem de pagamento no km 417,4.",https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias/free-flow-tem-inicio-na-rio-santos-br-101,2026-08-26
Rio-Santos (Costa Verde),BR-101,RJ,Paraty,538,ambos,1,cobranca,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),2023-03-31,ativo,Tarifa fixa por pórtico. Totem de pagamento no km 580.,https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias/free-flow-tem-inicio-na-rio-santos-br-101,2026-08-26
Via Dutra - Trecho Metropolitano,BR-116,SP,São Paulo; Guarulhos; Arujá,204 a 231,ambos,21,cobranca,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),2025-12-06,ativo,"21 pontos de cobrança nas entradas e saídas das pistas expressas, entre o km 204 (Arujá) e o km 231 (São Paulo). A concessionária não publica a lista individual de quilometragens, por isso o registro é agregado. Cobrança proporcional ao trecho percorrido, com tarifa dinâmica por dia e horário. A pista marginal é gratuita e a praça física de Arujá segue em operação.",https://rodovias.motiva.com.br/riosp/noticias/2025/dezembro/free-flow-na-via-dutra--cobranca-inicia-neste-sabado--06-12-,2026-08-26
Rodoanel Mário Covas - Trecho Norte,SP-021,SP,Guarulhos,135,ambos,2,cobranca,Via SP Serra (Rodoanel Norte SPE),2025-12-23,ativo,Um pórtico por sentido. Programa Siga Fácil. Neste trecho motos não são isentas.,https://www.sigafacil.sp.gov.br,2026-08-26
Manoel Hipólito do Rego / Padre Manoel da Nóbrega,SP-055,SP,Santos,236+000,leste e oeste,1,cobranca,Concessionária Novo Litoral (CNL),2025-11-01,ativo,"Trecho Doutor Manoel Hipólito do Rego, chamado de Rio-Santos em São Paulo. Não confundir com a BR-101 Rio-Santos, no Rio de Janeiro.",https://www.semparar.com.br/novo-litoral-cnl,2026-08-26
Manoel Hipólito do Rego / Padre Manoel da Nóbrega,SP-055,SP,Miracatu,389+560,ambos,1,cobranca,Concessionária Novo Litoral (CNL),2025-11-01,ativo,"Trecho Padre Manoel da Nóbrega, entre Praia Grande e Miracatu. A concessionária não publica a quilometragem exata deste ponto.",https://www.semparar.com.br/novo-litoral-cnl,2026-08-26
Manoel Hipólito do Rego / Padre Manoel da Nóbrega,SP-055,SP,Itariri,369+860 e 360+200,n/d,0,monitoramento,Concessionária Novo Litoral (CNL),,monitoramento,Duas estruturas na Padre Manoel da Nóbrega que operam apenas como monitoramento. A passagem por elas não gera cobrança de pedágio.,https://www.semparar.com.br/novo-litoral-cnl,2026-08-26
Pedro Eroles (Mogi-Dutra),SP-088,SP,Arujá,37+150 (norte) e 37+780 (sul),norte e sul,1,cobranca,Concessionária Novo Litoral (CNL),2025-11-01,ativo,"Ponto tarifário único, com estruturas em quilômetros diferentes por sentido.",https://www.semparar.com.br/novo-litoral-cnl,2026-08-26
Pedro Eroles (Mogi-Dutra),SP-088,SP,Mogi das Cruzes,41+600 (norte) e 40+800 (sul),norte e sul,1,cobranca,Concessionária Novo Litoral (CNL),2025-11-01,ativo,"Ponto tarifário único, com estruturas em quilômetros diferentes por sentido.",https://www.semparar.com.br/novo-litoral-cnl,2026-08-26
Dom Paulo Rolim Loureiro (Mogi-Bertioga),SP-098,SP,Bertioga,92+740,norte e sul,1,cobranca,Concessionária Novo Litoral (CNL),2025-11-01,ativo,,https://www.semparar.com.br/novo-litoral-cnl,2026-08-26
Rodovia dos Tamoios - Contorno Sul,SP-099,SP,Caraguatatuba,13+500,ambos,1,cobranca,Concessionária Tamoios,2024-11-18,ativo,"Contorno Sul, ligação Caraguatatuba a São Sebastião. Cobrança de todos os tipos de veículo nos dois sentidos, inclusive motocicletas. Totens de pagamento no SAU 3 (km 10,8) e no SAU 4 (km 20). Passagens já cobradas por tag não aparecem no portal de pagamento avulso.",https://freeflowtamoios.com.br,2026-08-26
Raposo Tavares,SP-270,SP,São Roque,48,ambos,1,cobranca,Motiva Sorocabana (CCR Sorocabana),2025-10-01,ativo,,https://rodovias.motiva.com.br/sorocabana/freeflow/,2026-08-26
