data,evento,tipo,status,uf,rodovia,concessionaria,norma,observacao,fonte,atualizado_em
2014-02-17,A ANTT padroniza a arrecadação eletrônica de pedágio e cria a figura da AMAP,norma,confirmado,nacional,n/d,n/d,Resolução ANTT nº 4.281/2014,É a base da interoperabilidade: garante que uma tag autorizada seja lida em qualquer pórtico das rodovias federais concedidas. Sem ela não existiria tag única.,https://anttlegis.antt.gov.br/,2026-08-26
2021-06-01,A Lei nº 14.157 cria o sistema de livre passagem e insere o art. 209-A no Código de Trânsito Brasileiro,norma,confirmado,nacional,n/d,n/d,Lei nº 14.157/2021,"É a lei que torna o Free Flow possível no Brasil e que transforma tarifa não paga em infração de trânsito. O art. 209-A tipifica duas condutas, e é a segunda que alcança o pedágio sem cancela.",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14157.htm,2026-08-26
2022-12-15,O CONTRAN publica o primeiro regulamento do sistema de livre passagem,norma,confirmado,nacional,n/d,n/d,Resolução CONTRAN nº 984/2022,Antecessora da Resolução nº 1.013/2024. Atos praticados sob ela seguem produzindo efeitos pela regra de transição da Portaria Senatran nº 442/2025.,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
2023-01-30,"Começa a operação assistida da Rio-Santos, sem cobrança",operacao_assistida,confirmado,RJ,BR-101,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),n/d,"Um mês de operação sem cobrança antes da estreia. Foi autorizada por sandbox regulatório da ANTT, o instrumento que permite testar um modelo novo em ambiente controlado.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2023-03-31,"Começa a primeira cobrança de Free Flow do Brasil, na Rio-Santos",operacao,confirmado,RJ,BR-101,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),n/d,"Três pórticos, em Itaguaí, Mangaratiba e Paraty. A cobrança aqui é por pórtico, com valor fechado, e não proporcional à distância.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2023-12-15,Entra em operação o primeiro pórtico de Free Flow em rodovia estadual do país,operacao,confirmado,RS,ERS-122,Caminhos da Serra Gaúcha (CSG),n/d,"Pórtico de Antônio Prado, no km 108,3. No Bloco 3 gaúcho os pórticos substituíram praças que estavam previstas em contrato, e por isso essas rodovias nunca tiveram cabine.",https://parcerias.rs.gov.br/free-flow,2026-08-26
2024-03-30,A CSG liga os outros cinco pórticos do Bloco 3 gaúcho,operacao,confirmado,RS,ERS-122; ERS-240; ERS-446,Caminhos da Serra Gaúcha (CSG),n/d,"São Sebastião do Caí, Farroupilha, Ipê, Capela de Santana e Carlos Barbosa. Completa os seis pórticos do bloco.",https://parcerias.rs.gov.br/free-flow,2026-08-26
2024-06-04,A EPR Sul de Minas ativa o primeiro pórtico de Minas Gerais,operacao,confirmado,MG,MG-459,EPR Sul de Minas,n/d,"Monte Sião, no km 12,7. Trecho com modalidade pré-paga, incomum no país.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2024-09-04,A Ecovias Noroeste Paulista estreia o Free Flow estadual paulista,operacao,confirmado,SP,SP-333,Ecovias Noroeste Paulista,n/d,Itápolis e Jaboticabal. É a primeira concessão estadual de São Paulo a cobrar por pórtico.,https://www.sigafacil.sp.gov.br,2026-08-26
2024-10-14,"O CONTRAN publica a Resolução nº 1.013, que substitui a de 2022",norma,confirmado,nacional,n/d,n/d,Resolução CONTRAN nº 1.013/2024,O art. 7º fixa o prazo de 30 dias para pagamento da tarifa e obriga a concessionária a comunicar o usuário por canais digitais.,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
