norma,tipo,orgao,data_publicacao,o_que_estabelece,aplica_se_a,vigencia,relevancia_para_o_motorista,url_oficial,fonte,atualizado_em
Lei nº 14.157/2021,lei federal,Congresso Nacional,2021-06-01,"Estabelece condições para a cobrança pelo uso de rodovias e vias urbanas por sistemas de livre passagem, para permitir tarifa proporcional ao trecho efetivamente percorrido. Altera o CTB e a Lei nº 10.233/2001.",todo o país,vigente,É a lei que cria o Free Flow no Brasil e insere o art. 209-A no CTB.,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14157.htm,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14157.htm,2026-08-26
Art. 209-A do CTB,artigo de lei,Congresso Nacional,2021-06-01,"Tipifica duas condutas: evadir-se da cobrança pelo uso de rodovias e vias urbanas para não efetuar o pagamento; ou deixar de efetuá-lo na forma estabelecida. Infração grave, penalidade de multa.",todo o país,vigente,É o artigo que transforma tarifa não paga em infração de trânsito. A segunda conduta é a que alcança o Free Flow.,https://www.planalto.gov.br/ccivil_03/leis/l9503compilado.htm,https://www.planalto.gov.br/ccivil_03/leis/l9503compilado.htm,2026-08-26
Lei nº 13.711/2018,lei federal,Congresso Nacional,2018-08-24,Disciplina a cobrança de pedágio por eixo suspenso de veículo de carga: eixo suspenso não é cobrado quando o veículo trafega vazio.,todo o país,vigente,"Define quanto paga o caminhão. Na prática, o MDF-e é o documento que indica se o veículo está carregado.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13711.htm,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13711.htm,2026-08-26
Lei nº 10.209/2001,lei federal,Congresso Nacional,2001-03-23,"Institui o Vale-Pedágio Obrigatório sobre o transporte rodoviário de carga, pago pelo embarcador e separado do valor do frete.",transporte de carga,vigente,"É outro produto, de frota, e não se confunde com a tag de pessoa física.",https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10209.htm,https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10209.htm,2026-08-26
Resolução ANTT nº 4.281/2014,resolução,ANTT,2014-02-17,"Padroniza a implementação e a operação do sistema de Arrecadação Eletrônica de Pedágio nas rodovias federais e define a figura da AMAP, Administradora de Meios de Pagamento para Arrecadação de Pedágio.",rodovias federais concedidas,vigente,É o que garante que uma tag autorizada seja lida em qualquer pórtico federal.,https://anttlegis.antt.gov.br/,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Resolução ANTT nº 6.079/2026,resolução,ANTT,2026-03-27,"Regulamenta o sistema de livre passagem nas rodovias federais concedidas: prazos, meios de pagamento obrigatórios, encargos, devolução em dobro de cobrança indevida e guarda de transações por cinco anos.",rodovias federais concedidas,vigente,"É a norma que define seus direitos na cobrança: prazo, meios de pagamento e o que acontece se cobrarem errado.",https://anttlegis.antt.gov.br/,https://anttlegis.antt.gov.br/,2026-08-26
Resolução CONTRAN nº 984/2022,resolução,CONTRAN,2022-12-15,"Primeiro regulamento do CONTRAN sobre o sistema de livre passagem, antecessor da Resolução nº 1.013/2024.",todo o país,substituída pela Resolução CONTRAN nº 1.013/2024,"Atos praticados sob ela seguem produzindo efeitos, conforme a regra de transição da Portaria Senatran nº 442/2025.",https://www.gov.br/transportes/pt-br/assuntos/transito/contran,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
Resolução CONTRAN nº 1.013/2024,resolução,CONTRAN,2024-10-14,"Regulamenta o sistema de livre passagem para fins de trânsito. O art. 7º fixa o prazo de 30 dias para pagamento da tarifa, contado da confirmação do processamento do registro da passagem, e exige comunicação ao usuário por canais digitais.",todo o país,"vigente, com redação do art. 7º dada pela Deliberação CONTRAN nº 277/2026","É a norma que define o prazo cujo descumprimento gera a infração, e que obriga a concessionária a avisar você.",https://www.gov.br/transportes/pt-br/assuntos/transito/contran,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
Deliberação CONTRAN nº 277/2026,deliberação,CONTRAN,2026-04-29,"Abre janela de regularização de 200 dias, até 16 de novembro de 2026, com cancelamento de infrações, exclusão de pontuação e autorização de restituição de multa paga. Dá nova redação ao art. 7º da Resolução nº 1.013/2024.",todo o país,vigente até 2026-11-16,É a janela aberta hoje: dá para regularizar tarifa em aberto sem a penalidade de trânsito. A tarifa continua devida.,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
Portaria Senatran nº 442/2025,portaria,Senatran,2025-06-12,"Estabelece os procedimentos de homologação e de interoperabilidade dos sistemas de livre passagem. O art. 8º, § 2º determina que sistema não homologado não pode ser usado para os fins do art. 115, § 10 do CTB, afastando a infração do art. 209-A.",todo o país,vigente,"É o melhor argumento de defesa que existe: sem homologação do sistema, não há infração.",https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/portarias-2025,https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/portarias-2025,2026-08-26
Resolução CONTRAN nº 918/2022,resolução,CONTRAN,2022-03-28,Disciplina o procedimento administrativo de aplicação de penalidades de trânsito e o rito de defesa e recurso.,todo o país,vigente,"É o rito que você segue para se defender: defesa da autuação, JARI e CETRAN.",https://www.gov.br/transportes/pt-br/assuntos/transito/contran,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
"Arts. 281, 285 e 288 do CTB",artigos de lei,Congresso Nacional,1997-09-23,"Definem as instâncias de defesa e recurso contra autuação e penalidade de trânsito: defesa da autuação, recurso à JARI e recurso ao CETRAN.",todo o país,vigente,"É o caminho gratuito para recorrer, sem necessidade de advogado.",https://www.planalto.gov.br/ccivil_03/leis/l9503compilado.htm,https://www.planalto.gov.br/ccivil_03/leis/l9503compilado.htm,2026-08-26
