rodovia,sigla,uf,trecho,concessionaria,grupo_economico,esfera,orgao_regulador,n_porticos,inicio_operacao,status,descontos_dbt_duf,url_pagamento_oficial,url_tarifa_oficial,fonte,atualizado_em
Rio-Santos (Costa Verde),BR-101,RJ,Itaguaí a Paraty (trecho concedido BR-101 RJ/SP),Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),Motiva (ex-CCR),federal,ANTT,3,2023-03-31,ativo,sim,https://rodovias.motiva.com.br/riosp/freeflow,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ccr-rio-sp/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Via Dutra - Trecho Metropolitano,BR-116,SP,"km 206 (Arujá) ao km 231 (São Paulo), via expressa; marginal gratuita",Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),Motiva (ex-CCR),federal,ANTT,10,2025-12-06,ativo,sim,https://rodovias.motiva.com.br/riosp/freeflow,https://rodovias.motiva.com.br/riosp/servicos/calcular-pedagio,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Vale do Aço,BR-381,MG,"Belo Horizonte (km 450+540) a Governador Valadares (km 150), 303,4 km",Concessionária de Rodovia Nova 381,4UM Investimentos + Opportunity,federal,ANTT,5,2025-09-27,ativo,sim,https://pedagioeletronico.nova381.com,https://nova381.com/tarifas-e-descontos,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rota do Zebu,BR-262,MG,Betim a Uberaba (pórticos em Nova Serrana e Ibiá),Concessionária da Rodovia BR-262/MG (Way-262),Way Brasil + Kinea,federal,ANTT,2,2025-11-17,ativo,sim,https://pedagioeletronico.way262.com.br,https://way262.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rota Agro Norte,BR-364,RO,"Porto Velho/Candeias do Jamari a Vilhena/Pimenta Bueno, 686,7 km",Concessionária de Rodovia Nova 364,4UM Investimentos + Opportunity,federal,ANTT,7,2026-01-12,ativo,sim,https://pedagioeletronico.nova364.com,https://nova364.com/tarifas-e-descontos,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Lote Iguaçu,BR-163,PR,"Santa Lúcia (km 154 e km 156,1), Oeste do Paraná",EPR Iguaçu,Grupo EPR,federal,ANTT,2,2026-02-23,ativo,sim,https://www.eprpedagioeletronico.com.br,https://epriguacu.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Lote Iguaçu,PR-182,PR,"Ampére (km 517,4), Sudoeste do Paraná",EPR Iguaçu,Grupo EPR,federal,ANTT,1,2026-02-23,ativo,sim,https://www.eprpedagioeletronico.com.br,https://epriguacu.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Lote Iguaçu,PR-280,PR,"Vitorino (km 234,3), Sudoeste do Paraná",EPR Iguaçu,Grupo EPR,federal,ANTT,1,2026-02-23,ativo,sim,https://www.eprpedagioeletronico.com.br,https://epriguacu.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Lote 4 - Norte e Noroeste do Paraná,BR-369,PR,"Jataizinho (km 126) e Rolândia/Arapongas (km 180,2)",EPR Paraná,Grupo EPR,federal,ANTT,4,2026-05-04,ativo,sim,https://www.eprpedagioeletronico.com.br,https://eprparana.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Lote 4 - Norte e Noroeste do Paraná,BR-376,PR,"Pres. Castelo Branco/Mandaguaçu (km 145,8) e Marialva/Mandaguari (km 196)",EPR Paraná,Grupo EPR,federal,ANTT,4,2026-05-04,ativo,sim,https://www.eprpedagioeletronico.com.br,https://eprparana.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rodovia do Café,BR-376,PR,"Mauá da Serra (km 294,8 no cadastro ANTT; km 292 pela concessionária)","PRVias (Motiva Paraná, ex-CCR RodoNorte)",Motiva (ex-CCR),federal,ANTT,1,2026-06-01,ativo,sim,https://pedagiodigital.com,https://rodovias.motiva.com.br/parana/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rodovia Celso Garcia Cid,PR-445,PR,"Tamarana (km 2,47; ANTT registra o município como Londrina)","PRVias (Motiva Paraná, ex-CCR RodoNorte)",Motiva (ex-CCR),federal,ANTT,1,2026-06-01,ativo,sim,https://pedagiodigital.com,https://rodovias.motiva.com.br/parana/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Concessão Centro-Norte (Rota Verde),BR-060,GO,"Anel Viário de Goiânia ao Contorno de Rio Verde, 229,6 km (Abadia de Goiás, Indiara, Jandaia, Acreúna)",Rota Verde Goiás,Fundo Aviva / 4i Capital,federal,ANTT,8,2026-05-27,ativo,sim,https://pedagioeletronico.rotaverdegoias.com.br,https://rotaverdegoias.com.br/pedagio,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Concessão Centro-Norte (Rota Verde),BR-452,GO,"Rio Verde a Itumbiara, 196,6 km (Santa Helena de Goiás, Bom Jesus de Goiás)",Rota Verde Goiás,Fundo Aviva / 4i Capital,federal,ANTT,3,2026-05-27,ativo,sim,https://pedagioeletronico.rotaverdegoias.com.br,https://rotaverdegoias.com.br/pedagio,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rodovia dos Tamoios - Contorno Sul,SP-099,SP,"Contorno Sul, km 13+500, Caraguatatuba (ligação Caraguatatuba-São Sebastião)",Concessionária Tamoios,n/d,estadual,ARTESP,1,2024-11-18,ativo,n/d,https://freeflowtamoios.com.br,https://freeflowtamoios.com.br,https://www.sigafacil.sp.gov.br,2026-08-25
Laurentino Mascari / Carlos Tonanni,SP-333,SP,Itápolis (km 179) e Jaboticabal (km 110),Ecovias Noroeste Paulista,EcoRodovias,estadual,ARTESP,2,2024-09-04,ativo,n/d,https://freeflow.ecoviasnoroestepaulista.com.br,https://freeflow.ecoviasnoroestepaulista.com.br/onde-tem-pedagio-eletronico-no-sistema-ecovias/ecovias-noroeste-paulista/,https://www.sigafacil.sp.gov.br,2026-08-25
Brigadeiro Faria Lima,SP-326,SP,Dobrada (km 307) e Taiúva (km 357),Ecovias Noroeste Paulista,EcoRodovias,estadual,ARTESP,2,2025-11-01,ativo,n/d,https://freeflow.ecoviasnoroestepaulista.com.br,https://freeflow.ecoviasnoroestepaulista.com.br/onde-tem-pedagio-eletronico-no-sistema-ecovias/ecovias-noroeste-paulista/,https://www.sigafacil.sp.gov.br,2026-08-25
Raposo Tavares,SP-270,SP,"São Roque (km 48), Alumínio/Sorocaba (km 83) e Araçoiaba da Serra (km 111)",Motiva Sorocabana (CCR Sorocabana),Motiva (ex-CCR),estadual,ARTESP,3,2025-10-01,ativo,n/d,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://www.sigafacil.sp.gov.br,2026-08-25
Pedro Eroles (Mogi-Dutra),SP-088,SP,Arujá (km 037) e Mogi das Cruzes (km 041),Concessionária Novo Litoral (CNL),n/d,estadual,ARTESP,2,2025-11-01,ativo,n/d,https://cnl.pedagioeletronico.com.br,https://www.novolitoral.com.br/pedagio-eletronico/,https://www.novolitoral.com.br/pedagio-eletronico/,2026-08-25
Dom Paulo Rolim Loureiro (Mogi-Bertioga),SP-098,SP,Bertioga (km 092+740),Concessionária Novo Litoral (CNL),n/d,estadual,ARTESP,1,2025-11-01,ativo,n/d,https://cnl.pedagioeletronico.com.br,https://www.novolitoral.com.br/pedagio-eletronico/,https://www.novolitoral.com.br/pedagio-eletronico/,2026-08-25
Manoel Hipólito do Rego / Padre Manoel da Nóbrega,SP-055,SP,Santos (km 236) e Miracatu (km 389+560); Itariri opera só como monitoramento,Concessionária Novo Litoral (CNL),n/d,estadual,ARTESP,2,2025-11-01,ativo,n/d,https://cnl.pedagioeletronico.com.br,https://www.novolitoral.com.br/pedagio-eletronico/,https://www.novolitoral.com.br/pedagio-eletronico/,2026-08-25
