canal,operador,tipo,url_oficial,funcao,quem_pode_usar,observacao,verificacao,verificado_em
CNH do Brasil (consulta de Pedágio Eletrônico),Senatran / Ministério dos Transportes (plataforma Serpro),app,https://www.gov.br/transportes/pt-br/cnh-do-brasil,consulta,"qualquer motorista pessoa física, com ou sem tag","Caminho no app: Veículos > selecionar o veículo > Pedágio Eletrônico. Exige o app atualizado: a funcionalidade foi liberada em 24/08/2026 e estreou com 14 concessionárias integradas, em rodovias federais, estaduais e municipais. Mostra placa, data e local, identificação do pórtico quando disponível, valor, concessionária, prazo e situação (em processamento, pendente, isento ou pago). Filtra por concessionária e situação, amplia o período para 60 ou 90 dias e alcança até 5 anos de histórico. Permite contestar passagem. Emite dois alertas: um em até 24 horas após a passagem e outro 5 dias antes do vencimento. NÃO recebe pagamento e nunca pede dados de cartão: o botão Como pagar encaminha ao canal da concessionária. É o mesmo app da antiga Carteira Digital de Trânsito.",verificado,2026-08-26
Portal de Serviços Senatran,Senatran / Ministério dos Transportes (plataforma Serpro),site,https://portalservicos.senatran.serpro.gov.br,consulta,"pessoas físicas (visão detalhada) e, obrigatoriamente, empresas e frotistas","Desde 24/08/2026 reúne os registros de passagem enviados pelas concessionárias integradas, com dados mais detalhados que o app. Pessoa física pode usar os dois; empresas e frotas consultam exclusivamente aqui, não pelo app. Não recebe pagamento: direciona ao canal da concessionária.",verificado,2026-08-26
ANTT - Free Flow,Agência Nacional de Transportes Terrestres,governo,https://www.gov.br/antt/pt-br/free-flow,informação,"qualquer pessoa, sem login","Traz o localizador oficial de pórticos das rodovias federais (busca por rodovia, trecho, concessionária ou município). ATENÇÃO: não consulta débito por placa e não recebe pagamento.",verificado,2026-08-25
Siga Fácil,Governo do Estado de São Paulo / ARTESP,governo,https://www.sigafacil.sp.gov.br,informação,motoristas em rodovias estaduais paulistas,Portal orientador do free flow paulista. NÃO é da Arteris (grupo privado) nem recebe pagamento: direciona ao canal de cada concessionária.,parcial (instabilidade no acesso),2026-08-25
Siga Fácil - consulta por placa,ARTESP,site,https://sigafacil.artesp.sp.gov.br/,consulta,motoristas em rodovias estaduais paulistas,Consulta unificada de passagens nas rodovias estaduais de São Paulo.,parcial,2026-08-25
Pedágio Digital,"Motiva (ex-CCR) e EcoRodovias, operado por Inovap 5",site,https://pedagiodigital.com,pagamento,"qualquer motorista sem tag, nos trechos das concessionárias Motiva e Ecovias","Domínio é .com, não .com.br - alvo frequente de imitação. Também disponível como app. A própria Motiva publica: não enviamos links para realização de pagamento.",parcial (bloqueio anti-bot),2026-08-25
Rede CCR Pagamentos,Motiva (ex-CCR),site,https://rede.ccrpagamentos.com.br,consulta,qualquer motorista,Permite consulta avulsa sem cadastro. O pagamento é concluído no Pedágio Digital.,verificado,2026-08-25
Free Flow Sistema Ecovias,EcoRodovias,site,https://freeflow.ecovias.com.br,informação,motoristas nos trechos Ecovias,Encaminha o pagamento para o Pedágio Digital. A própria página alerta para conferir se o usuário está no site correto.,parcial (bloqueio anti-bot),2026-08-25
Free Flow Ecovias Noroeste Paulista,EcoRodovias,site,https://freeflow.eco.br,pagamento,motoristas nas SP-333 e SP-326,"Endereço oficial divulgado pela concessionária. O antigo freeflow.econoroeste.com.br saiu de uso. O prazo, que no lançamento em 2024 era menor, hoje é de 30 dias, conforme a própria concessionária. O pagamento sem tag é processado pelo Pedágio Digital.",parcial (bloqueio anti-bot),2026-08-26
Pedágio Eletrônico Nova 381,Nova 381,site,https://pedagioeletronico.nova381.com,pagamento,"qualquer motorista, com ou sem tag, na BR-381/MG",Passagem disponível para consulta em até 2 horas. Também há 25 totens ao longo do trecho.,verificado,2026-08-25
