concessionaria,grupo_economico,plataforma_pagamento,rodovias,ufs,esfera,n_porticos_free_flow,status,canais,url_oficial,observacao,fonte,atualizado_em
Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),Motiva (ex-CCR),Pedágio Digital,BR-101; BR-116,RJ; SP,federal,13,ativo,site; app; WhatsApp; totens; rede credenciada,https://rodovias.motiva.com.br/riosp/freeflow,"Primeiro free flow em rodovia federal do Brasil (BR-101, 2023). Na Via Dutra a cobrança é proporcional à distância percorrida.",https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Concessionária de Rodovia Nova 381,4UM Investimentos + Opportunity,própria (Alpdex),BR-381,MG,federal,5,ativo,site; app; 25 totens,https://pedagioeletronico.nova381.com,Primeira concessão federal com 100% da cobrança em free flow. Motos com passe livre.,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Concessionária da Rodovia BR-262/MG (Way-262),Way Brasil + Kinea,própria (Way Rodovias),BR-262,MG,federal,2,ativo,site; app; totens,https://pedagioeletronico.way262.com.br,Duas das seis praças da concessão foram convertidas em pórticos; as demais seguem convencionais.,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Concessionária de Rodovia Nova 364,4UM Investimentos + Opportunity,própria (Alpdex),BR-364,RO,federal,7,ativo,site; app; 14 totens em bases SAU,https://pedagioeletronico.nova364.com,Concessão 100% eletrônica. Cobrança suspensa por liminar entre 29/01 e 11/02/2026 e retomada em 12/02/2026. Isenções exigem cadastro prévio.,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
EPR Iguaçu,Grupo EPR,própria (Pedágio Eletrônico EPR),BR-163; PR-182; PR-280,PR,federal,4,ativo,site; app,https://www.eprpedagioeletronico.com.br,As praças da BR-277 na mesma concessão seguem convencionais. A concessionária declara que não envia boletos aos usuários.,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
EPR Paraná,Grupo EPR,própria (Pedágio Eletrônico EPR) + Movvia no Portal RPV,BR-369; BR-376,PR,federal,8,ativo,site; app; Portal RPV com NFS-e,https://www.eprpedagioeletronico.com.br,Oito estruturas físicas correspondentes a quatro pontos tarifários (um pórtico por sentido).,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
PRVias (Motiva Paraná),Motiva (ex-CCR),Pedágio Digital,BR-376; PR-445,PR,federal,2,ativo,site; app; 13 totens; rede credenciada,https://pedagiodigital.com,Passagem pelos dois pórticos no mesmo sentido em até 2 horas gera cobrança única.,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rota Verde Goiás,Fundo Aviva / 4i Capital,própria (Alpdex),BR-060; BR-452,GO,federal,11,ativo,site; app; totens nas 9 bases SAU,https://pedagioeletronico.rotaverdegoias.com.br,Onze pórticos físicos em sete pontos tarifários. Primeiro pedágio eletrônico de Goiás. A concessionária declara que não comercializa tags.,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Concessionária Tamoios,n/d,própria (Tamoios Free Flow),SP-099,SP,estadual,1,ativo,site; app; totens nas bases SAU 3 e SAU 4,https://freeflowtamoios.com.br,Passagens cobradas automaticamente por tag não aparecem no app da concessionária. As praças de Jambeiro e Paraibuna seguem convencionais.,https://www.sigafacil.sp.gov.br,2026-08-25
Ecovias Noroeste Paulista,EcoRodovias,Pedágio Digital e Pedágio Pay,SP-333; SP-326,SP,estadual,4,ativo,site; app; WhatsApp; totens,https://freeflow.ecoviasnoroestepaulista.com.br,"Primeiro pórtico free flow do estado de São Paulo (Itápolis, 2024). O contrato prevê substituição gradual de todas as praças.",https://www.sigafacil.sp.gov.br,2026-08-25
Motiva Sorocabana (CCR Sorocabana),Motiva (ex-CCR),Pedágio Digital,SP-270,SP,estadual,3,ativo,site; app; WhatsApp; totens,https://rodovias.motiva.com.br/sorocabana/freeflow/,"Além dos 3 pórticos de cobrança, opera 5 pórticos apenas de monitoramento na SP-270.",https://www.sigafacil.sp.gov.br,2026-08-25
Concessionária Novo Litoral (CNL),n/d,Movvia,SP-088; SP-098; SP-055,SP,estadual,5,ativo,site; app; 8 bases de atendimento presencial,https://cnl.pedagioeletronico.com.br,Primeira concessão 100% eletrônica de São Paulo. Motos isentas. Dois pórticos em Itariri operam apenas como monitoramento.,https://www.novolitoral.com.br/pedagio-eletronico/,2026-08-25
Via SP Serra (Rodoanel Norte SPE),Via Appia / Starboard,própria (Siga Fácil),SP-021,SP,estadual,2,ativo,site; WhatsApp; totem na base SAU do km 135,https://viaappia.com.br/sigafacil/,Neste lote motocicletas NÃO são isentas. Pagamento integrado ao Sem Parar.,https://www.sigafacil.sp.gov.br,2026-08-25
Caminhos da Serra Gaúcha (CSG),n/d,própria (CSG FreeFlow) + Movvia como parceiro,ERS-122; ERS-240; ERS-446,RS,estadual,6,ativo,site; app; SAC; totens,https://freeflow.csg.com.br,"Permite pagamento informando apenas a placa, sem cadastro. Primeiro pórtico do Rio Grande do Sul (Antônio Prado, dez/2023).",https://parcerias.rs.gov.br/free-flow,2026-08-25
EPR Sul de Minas,Grupo EPR,própria (Pedágio sem Cancela),MG-459,MG,estadual,1,ativo,site; app com modalidade pré-paga,https://www.pedagiosemcancela.com.br,"Primeiro pedágio sem cancela de Minas Gerais (Monte Sião, jun/2024).",https://eprsuldeminas.com.br/pedagio-eletronico,2026-08-25
Ecovias dos Imigrantes,EcoRodovias,Pedágio Digital,SP-150; SP-160,SP,estadual,4,adiado,site (em implantação),https://freeflow.ecovias.com.br/onde-tem-pedagio-eletronico-no-sistema-ecovias/ecovias-imigrantes/,Início adiado em 27/07/2026 sem nova data. O pórtico do km 29 da Imigrantes segue no local apenas monitorando o tráfego. As praças físicas de Riacho Grande e Piratininga continuam operando.,https://g1.globo.com/sp/santos-regiao/noticia/2026/07/27/governo-de-sp-adia-inicio-do-pedagio-eletronico-no-sistema-anchieta-imigrantes-entenda.ghtml,2026-08-25
