concessionaria,uf,esfera,orgao_regulador,aceita_tag,regime_de_aceitacao,operadoras_publicadas,moto_pode_usar_tag,desconto_por_tag,prazo_com_tag,observacao,fonte,atualizado_em
Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),RJ; SP,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,Na pista expressa da Via Dutra a motocicleta paga meia tarifa e a concessionária declara proibido o uso de qualquer tag em motocicleta. Passagem por tag não aparece no portal de pagamento avulso.,https://rodovias.motiva.com.br/riosp/central-de-ajuda/duvidas-frequentes,2026-08-26
Concessionária de Rodovia Nova 381,MG,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,"Concessão 100% em pedágio eletrônico. Sem tag, o pagamento vai a site, app ou aos totens instalados ao longo da rodovia.",https://nova381.com/nova381/pagamento-do-pedagio-free-flow-permanece-obrigatorio,2026-08-26
Concessionária da Rodovia BR-262/MG (Way-262),MG,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,n/d,definido pela operadora de tag,Aceitação decorre da interoperabilidade obrigatória nas federais. A concessionária não publica lista própria de operadoras.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Concessionária de Rodovia Nova 364,RO,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,Maior extensão contínua com pedágio eletrônico do país. A concessionária não publica lista própria de operadoras.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
EPR Iguaçu,PR,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,DUF progressivo por passagem no mesmo pórtico e sentido dentro do mês. Percentuais mudam por contrato e ficam na tabela oficial.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
EPR Paraná,PR,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,Aceitação decorre da interoperabilidade obrigatória nas federais.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
"PRVias (Motiva Paraná, ex-CCR RodoNorte)",PR,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,Pagamento sem tag processado pela plataforma Pedágio Digital.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Rota Verde Goiás,GO,federal,ANTT,sim,interoperabilidade obrigatoria (ANTT),n/d,nao,DBT; DUF,definido pela operadora de tag,"DUF restrito a veículos de passeio das categorias 1, 3 e 5, progressivo até a trigésima passagem no mesmo pórtico e sentido no mês.",https://rotaverdegoias.com.br/pedagio,2026-08-26
Concessionária Tamoios,SP,estadual,ARTESP,sim,operadoras autorizadas pela ARTESP,ConectCar; Move Mais; Sem Parar; Taggy; Veloe,nao,n/d,definido pela operadora de tag,"Motocicleta paga tarifa no Contorno Sul e, por não poder usar tag, precisa pagar pela placa. Passagem cobrada por tag não aparece no portal de pagamento avulso.",https://freeflowtamoios.com.br,2026-08-26
Ecovias Noroeste Paulista,SP,estadual,ARTESP,sim,operadoras autorizadas pela ARTESP,n/d,nao,DBT; DUF,definido pela operadora de tag,"Primeira concessão estadual paulista com pedágio eletrônico, na SP-333, desde 2024. A concessionária não publica lista própria de operadoras.",https://www.sigafacil.sp.gov.br,2026-08-26
Motiva Sorocabana (CCR Sorocabana),SP,estadual,ARTESP,sim,operadoras autorizadas pela ARTESP,n/d,nao,n/d,definido pela operadora de tag,Aceitação segue a lista de operadoras autorizadas pela ARTESP. A concessionária não publica lista própria.,https://www.sigafacil.sp.gov.br,2026-08-26
Concessionária Novo Litoral (CNL),SP,estadual,ARTESP,sim,operadoras autorizadas pela ARTESP,ConectCar; Move Mais; Sem Parar; Taggy; Veloe,nao,DBT; DUF,definido pela operadora de tag,"Motocicletas são isentas nas quatro rodovias da concessão, então a questão da tag em moto não se coloca aqui. Sem tag, o prazo é de 30 dias corridos.",https://novolitoral.com.br/pedagio-eletronico,2026-08-26
Via SP Serra (Rodoanel Norte SPE),SP,estadual,ARTESP,sim,operadoras autorizadas pela ARTESP,n/d,nao,n/d,definido pela operadora de tag,Motocicleta paga tarifa no Trecho Norte do Rodoanel. A concessionária não publica lista própria de operadoras.,https://www.sigafacil.sp.gov.br,2026-08-26
Caminhos da Serra Gaúcha (CSG),RS,estadual,AGERGS,sim,operadoras autorizadas pela AGERGS,n/d,nao,DBT; DUF,definido pela operadora de tag,"A concessionária declara a tag como a forma recomendada de pagamento. Motocicleta paga tarifa e, por não poder usar tag, precisa se cadastrar no site ou no app para ter direito ao desconto. Vale-pedágio aceito apenas em formato tag.",https://www.csg.com.br/noticias/csg-esclarece-principais-duvidas-sobre-o-free-flow,2026-08-26
EPR Sul de Minas,MG,estadual,DER-MG,sim,operadoras autorizadas pelo DER-MG,n/d,nao,DBT; DUF,definido pela operadora de tag,"Pórtico único na MG-459, em Monte Sião. A concessionária não publica lista própria de operadoras.",https://www.pedagiosemcancela.com.br,2026-08-26
